Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
PI16	Pi16	Protein Coding	Adipocyte progenitor cells (early)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus early ASPC marker; Peptidase Inhibitor 16; Table 2 & 3
NA	Aldh1a3	Protein Coding	Adipocyte progenitor cells (early)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse early ASPC marker (Table 3); Aldehyde dehydrogenase 1 family member A3
NA	Ebf2	Protein Coding	Adipocyte progenitor cells (early)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse early ASPC marker (Table 3); EBF transcription factor 2; early B cell factor 2
PPARG	Pparg	Protein Coding	Adipocyte progenitor cells (committed)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus committed preadipocyte marker; master adipogenic transcription factor; Table 2 & 3
NA	Icam1	Protein Coding	Adipocyte progenitor cells (committed)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse committed preadipocyte marker (Table 3); ICAM-1; listed as Icam in Table 3
NA	Cd36	Protein Coding	Adipocyte progenitor cells (committed)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse committed preadipocyte marker (Table 3); fatty acid translocase; also expressed in adipocytes and macrophages
NA	Cd142	Protein Coding	Adipocyte progenitor cells (Areg)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse Areg marker (Table 3); anti-adipogenic regulatory cells; iWAT-specific; Tissue Factor (F3)
NA	Clec11a	Protein Coding	Adipocyte progenitor cells (Areg)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse Areg marker (Table 3); C-type lectin domain family 11 member A; iWAT-specific
NA	Fmo2	Protein Coding	Adipocyte progenitor cells (Areg)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse Areg marker (Table 3); Flavin containing dimethylaniline monoxygenase 2; iWAT-specific
NA	Meox2	Protein Coding	Adipocyte progenitor cells (Areg)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse Areg marker (Table 3); Mesenchyme homeobox 2; iWAT-specific
NA	Epha3	Protein Coding	Adipocyte progenitor cells (Areg)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse Areg marker (Table 3); EPH receptor A3; iWAT-specific; human EPHA3 is an Areg marker in human WAT
GJA5	NA	Protein Coding	Endothelial cells (arterial)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human arterial EC marker (Table 2); Connexin-40; gap junction protein
NEBL	NA	Protein Coding	Endothelial cells (arterial)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human arterial EC marker (Table 2); Nebulette
PCSK5	NA	Protein Coding	Endothelial cells (arterial)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human arterial EC marker (Table 2); Proprotein convertase subtilisin/kexin type 5
NA	Hey1	Protein Coding	Endothelial cells (arterial)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse arterial EC marker (Table 3); Hairy/enhancer-of-split related with YRPW motif 1; Notch target
NA	Gkn3	Protein Coding	Endothelial cells (arterial)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse arterial EC marker (Table 3); Gastrokine 3; unusual arterial marker
ACKR1	Ackr1	Protein Coding	Endothelial cells (venous)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus venous EC marker; DARC/Duffy antigen; Table 2 & 3
NA	Vcam1	Protein Coding	Endothelial cells (venous)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse venous EC marker (Table 3); VCAM-1; vascular cell adhesion molecule 1
NA	Vwf	Protein Coding	Endothelial cells (venous)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse venous EC marker (Table 3); von Willebrand Factor
BTNL9	NA	Protein Coding	Endothelial cells (capillary)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human capillary EC marker (Table 2); Butyrophilin-like protein 9
RBP7	NA	Protein Coding	Endothelial cells (capillary)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human capillary EC marker (Table 2); Retinol-binding protein 7
CA4	Car4	Protein Coding	Endothelial cells (capillary)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus capillary EC marker; Carbonic anhydrase 4; human CA4 (Table 2) and mouse Car4 (Table 3)
NA	Rgcc	Protein Coding	Endothelial cells (capillary)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse capillary EC marker (Table 3); Regulator of cell cycle
PROX1	Prox1	Protein Coding	Endothelial cells (lymphatic)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus lymphatic EC marker; master lymphatic transcription factor; Table 2 & 3
LYVE1	Lyve1	Protein Coding	Endothelial cells (lymphatic)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus lymphatic EC marker; Table 2 & 3; dual-use: also expressed in perivascular macrophages (TRM/PVM)
JCHAIN	Jchain	Protein Coding	B cells (plasmablast)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus plasmablast marker; immunoglobulin J chain; Table 2 & 3
NA	Ighd	Protein Coding	B cells (naive)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse naive B cell marker (Table 3); IgD heavy chain constant region
NA	Zbtb32	Protein Coding	B cells (memory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse memory B cell marker (Table 3); zinc finger and BTB domain-containing protein 32
FOXP3	Foxp3	Protein Coding	T cell (regulatory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus Treg marker; master Treg transcription factor; Table 2 & 3
TIGIT	NA	Protein Coding	T cell (regulatory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human Treg marker (Table 2); T cell immunoreceptor with Ig and ITIM domains
CTLA4	NA	Protein Coding	T cell (regulatory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human Treg marker (Table 2); CD152; immune checkpoint molecule
CD4	Cd4	Protein Coding	T cell (regulatory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse Treg marker (Table 3); FOXP3+CD4+ defines murine Tregs; also CD4 T helper marker
CD2	NA	Protein Coding	T cells (CD4)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human CD4 naive T cell marker (Table 2); LFA-2
CD40LG	NA	Protein Coding	T cells (CD4)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human CD4 naive T cell marker (Table 2); CD40L; T helper effector molecule
NA	Cxcr3	Protein Coding	T cells (CD4)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse CD4 T cell marker (Table 3); chemokine receptor CXCR3; Th1-associated
GZMB	NA	Protein Coding	T cells (CD8 cytotoxic)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human cytotoxic CD8 T cell marker (Table 2); Granzyme B; effector cytolytic protein
GZMH	NA	Protein Coding	T cells (CD8 cytotoxic)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human cytotoxic CD8 T cell marker (Table 2); Granzyme H
GZMK	NA	Protein Coding	T cells (CD8 naive)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human CD8 naive T cell marker (Table 2); Granzyme K; also tissue-resident NK marker in human
NA	Ccr7	Protein Coding	T cells (CD8 central memory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse CD8 central memory T cell marker (Table 3); CCR7; lymph node homing receptor; also activated DC marker
NA	Sell	Protein Coding	T cells (CD8 central memory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse CD8 central memory T cell marker (Table 3); CD62L; L-selectin; lymph node homing
NA	Stmn1	Protein Coding	T cells (CD8 cycling)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse cycling CD8 T cell marker (Table 3); Stathmin 1; proliferation marker; also cycling DC marker
NA	Pclaf	Protein Coding	T cells (CD8 cycling)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse cycling CD8 T cell marker (Table 3); PCNA clamp-associated factor; proliferation marker
LEF1	NA	Protein Coding	T cells (CD8 γδ)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human CD8 γδ T cell marker (Table 2); Lymphoid enhancer-binding factor 1
KLRC2	NA	Protein Coding	T cells (CD8 γδ)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human CD8 γδ T cell marker (Table 2); NKG2C; NK lectin-like receptor subfamily C member 2
ZNF683	NA	Protein Coding	T cells (CD8 γδ)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human CD8 γδ T cell marker (Table 2); Zinc finger protein 683 (HOBIT); tissue-resident marker; also ILC1 marker
NA	Trdv4	Protein Coding	T cells (CD8 γδ)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse γδ T cell marker (Table 3); T cell receptor delta variable 4
NA	Cd163l1	Protein Coding	T cells (CD8 γδ)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse γδ T cell marker (Table 3); CD163 molecule-like 1
NA	Cxcr6	Protein Coding	T cells (CD8 γδ)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse γδ T cell marker (Table 3); chemokine receptor CXCR6; tissue residency marker
NA	Trdc	Protein Coding	T cells (CD8 γδ)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse γδ T cell marker (Table 3); T cell receptor delta constant chain
KLRB1	NA	Protein Coding	T cells (MAIT)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human MAIT cell marker (Table 2); CD161; mucosal-associated invariant T cells; human-specific annotation
SLC4A10	NA	Protein Coding	T cells (MAIT)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human MAIT cell marker (Table 2); sodium-bicarbonate cotransporter; MAIT-specific across tissues
FCGR3A	NA	Protein Coding	Natural killer cells (mature)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human mature NK cell marker (Table 2); CD16a; Fc gamma receptor IIIA; also non-classical monocyte marker
FGFBP2	NA	Protein Coding	Natural killer cells (mature)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human mature NK cell marker (Table 2); FGF-binding protein 2; cytotoxic NK marker
KLRF1	NA	Protein Coding	Natural killer cells (mature)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human mature NK cell marker (Table 2); NKp80; activating NK receptor
NA	Ncr1	Protein Coding	Natural killer cells (mature)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse mature NK cell marker (Table 3); NKp46; natural cytotoxicity receptor 1
NA	Klrb1c	Protein Coding	Natural killer cells (mature)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse mature NK cell marker (Table 3); NK1.1/CD161c; also expressed on iNKT cells
XCL2	NA	Protein Coding	Natural killer cells (tissue resident)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human tissue-resident NK cell marker (Table 2); XCL2 chemokine; lymphotactin-2
KLRC1	NA	Protein Coding	Natural killer cells (tissue resident)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human tissue-resident NK cell marker (Table 2); NKG2A/CD159a; inhibitory NK receptor
NCAM1	NA	Protein Coding	Natural killer cells (immature)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human immature NK cell marker (Table 2); CD56; distinguishes iNK from mature NK
NA	Ly6c2	Protein Coding	Natural killer cells (NK-like)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse NK-like cell marker (Table 3); Ly6C; also classical monocyte marker
NA	Tbx21	Protein Coding	Natural killer cells (iNKT)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse iNKT cell marker (Table 3); T-bet transcription factor; also ILC1 marker in human
TBX21	NA	Protein Coding	Innate lymphoid cells (ILC1)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human ILC1 marker (Table 2); T-bet; Th1-associated transcription factor
GATA3	NA	Protein Coding	Innate lymphoid cells (ILC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human ILC2 marker (Table 2); GATA binding protein 3; ILC2 master regulator; Th2-associated
IL1RL1	NA	Protein Coding	Innate lymphoid cells (ILC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human ILC2 marker (Table 2); ST2; IL-33 receptor; key alarmin receptor on ILC2
NA	Klrg1	Protein Coding	Innate lymphoid cells (ILC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse ILC2 marker (Table 3); killer cell lectin-like receptor G1; mature ILC2 marker
NA	Ccdc184	Protein Coding	Innate lymphoid cells (ILC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse ILC2 marker (Table 3); coiled-coil domain containing 184
CCR6	NA	Protein Coding	Innate lymphoid cells (ILC3)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human ILC3 marker (Table 2); CCR6; ILC3 subset marker; lymphoid tissue inducer-like
IL1R1	NA	Protein Coding	Innate lymphoid cells (ILC3)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human ILC3 marker (Table 2); IL-1 receptor type 1; shared with ILCP
IL23R	NA	Protein Coding	Innate lymphoid cells (ILC3)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human ILC3 marker (Table 2); IL-23 receptor; ILC3-specific cytokine receptor
SELL	NA	Protein Coding	Innate lymphoid cells (ILCP)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human ILCP marker (Table 2); CD62L/L-selectin; innate lymphoid cell progenitor; also CD8 central memory marker in mouse
XCR1	Xcr1	Protein Coding	Dendritic cells (cDC1)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus cDC1 marker; XC chemokine receptor 1; highly specific for cross-presenting DCs; Table 2 & 3
CLEC9A	Clec9a	Protein Coding	Dendritic cells (cDC1)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus cDC1 marker; DNGR-1; dead cell sensing receptor; Table 2 & 3
CADM1	NA	Protein Coding	Dendritic cells (cDC1)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human cDC1 marker (Table 2); Cell adhesion molecule 1; TSLC1
CCR7	Ccr7	Protein Coding	Dendritic cells (activated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus activated DC marker; CCR7; lymph node homing; also CD8 central memory marker; Table 2 & 3
FSCN1	NA	Protein Coding	Dendritic cells (activated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human activated DC marker (Table 2); Fascin-1; actin-bundling protein; migratory cell marker
CCL22	Ccl22	Protein Coding	Dendritic cells (activated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus activated DC marker; MDC; CCR4 ligand; Table 2 & 3
LAMP3	NA	Protein Coding	Dendritic cells (activated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human activated DC marker (Table 2); CD208; lysosomal marker; maturation marker
NA	Mreg	Protein Coding	Dendritic cells (activated)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse activated DC marker (Table 3); Macrophage receptor with collagenous structure
FCER1A	NA	Protein Coding	Dendritic cells (cDC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human cDC2B marker (Table 2); FcεRIα; high-affinity IgE receptor alpha chain; also classical monocyte marker
CD1C	NA	Protein Coding	Dendritic cells (cDC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human cDC2B marker (Table 2); CD1c; lipid antigen presentation; BDCA-1
CLEC10A	NA	Protein Coding	Dendritic cells (cDC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human cDC2B marker (Table 2); CD301; C-type lectin domain family 10 member A
IRF4	NA	Protein Coding	Dendritic cells (cDC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human cDC2B marker (Table 2); interferon regulatory factor 4; cDC2 lineage TF
NA	Sirpa	Protein Coding	Dendritic cells (cDC2)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse cDC2 marker (Table 3); SIRPα/CD172a; signal-regulatory protein alpha
NA	Siglech	Protein Coding	Dendritic cells (plasmacytoid)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse plasmacytoid DC marker (Table 3); sialic acid-binding Ig-like lectin H; pDC-specific in mouse
NA	Nudt17	Protein Coding	Dendritic cells (migratory)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse migratory DC marker (Table 3); nudix hydrolase 17
TXNIP	NA	Protein Coding	Monocytes (classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human classical monocyte 1 marker (Table 2); thioredoxin interacting protein; inflammasome activator
FCAR	NA	Protein Coding	Monocytes (classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human classical monocyte 2 marker (Table 2); CD89; IgA receptor; Fc fragment of IgA receptor
NA	Socs6	Protein Coding	Monocytes (classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse classical monocyte marker (Table 3); suppressor of cytokine signaling 6
NA	Fcgr1	Protein Coding	Monocytes (classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse classical monocyte marker (Table 3); CD64; high-affinity IgG receptor
NA	Ccr2	Protein Coding	Monocytes (classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse classical monocyte marker (Table 3); CCR2; monocyte trafficking receptor
HES4	NA	Protein Coding	Monocytes (non-classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human non-classical monocyte marker (Table 2); Hairy and enhancer of split 4; Notch target
LST1	NA	Protein Coding	Monocytes (non-classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Human non-classical monocyte marker (Table 2); Leukocyte-specific transcript 1; MHC class III gene
DGKG	Dgkg	Protein Coding	Monocytes (non-classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus non-classical monocyte marker; Diacylglycerol kinase gamma; Table 2 & 3
NA	Ace	Protein Coding	Monocytes (non-classical)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Mouse non-classical monocyte marker (Table 3); Angiotensin-converting enzyme; CD143
LYVE1	Lyve1	Protein Coding	Macrophages (perivascular)	Adipose tissue	Loft et al, Nat Metab, 2025 (DOI: 10.1038/s42255-025-01296-9)	Literature Review	2026-02-26	Consensus PVM/TRM marker; Table 2 & 3; dual-use: also expressed on lymphatic endothelial cells
